value,classification,date
73,Greed,2023-11-12
72,Greed,2023-11-13
69,Greed,2023-11-14
60,Greed,2023-11-15
70,Greed,2023-11-16
63,Greed,2023-11-17
69,Greed,2023-11-18
66,Greed,2023-11-19
69,Greed,2023-11-20
71,Greed,2023-11-21
62,Greed,2023-11-22
66,Greed,2023-11-23
66,Greed,2023-11-24
73,Greed,2023-11-25
73,Greed,2023-11-26
66,Greed,2023-11-27
68,Greed,2023-11-28
72,Greed,2023-11-29
74,Greed,2023-11-30
71,Greed,2023-12-01
74,Greed,2023-12-02
73,Greed,2023-12-03
74,Greed,2023-12-04
75,Greed,2023-12-05
72,Greed,2023-12-06
72,Greed,2023-12-07
72,Greed,2023-12-08
73,Greed,2023-12-09
74,Greed,2023-12-10
74,Greed,2023-12-11
67,Greed,2023-12-12
65,Greed,2023-12-13
72,Greed,2023-12-14
70,Greed,2023-12-15
67,Greed,2023-12-16
73,Greed,2023-12-17
65,Greed,2023-12-18
73,Greed,2023-12-19
74,Greed,2023-12-20
70,Greed,2023-12-21
74,Greed,2023-12-22
70,Greed,2023-12-23
71,Greed,2023-12-24
73,Greed,2023-12-25
71,Greed,2023-12-26
73,Greed,2023-12-27
73,Greed,2023-12-28
65,Greed,2023-12-29
68,Greed,2023-12-30
67,Greed,2023-12-31
65,Greed,2024-01-01
71,Greed,2024-01-02
70,Greed,2024-01-03
68,Greed,2024-01-04
72,Greed,2024-01-05
70,Greed,2024-01-06
71,Greed,2024-01-07
71,Greed,2024-01-08
76,Greed,2024-01-09
73,Greed,2024-01-10
76,Greed,2024-01-11
71,Greed,2024-01-12
64,Greed,2024-01-13
60,Greed,2024-01-14
52,Neutral,2024-01-15
64,Greed,2024-01-16
60,Greed,2024-01-17
63,Greed,2024-01-18
51,Neutral,2024-01-19
52,Neutral,2024-01-20
56,Greed,2024-01-21
55,Greed,2024-01-22
50,Neutral,2024-01-23
48,Neutral,2024-01-24
52,Neutral,2024-01-25
49,Neutral,2024-01-26
55,Greed,2024-01-27
54,Neutral,2024-01-28
55,Greed,2024-01-29
61,Greed,2024-01-30
60,Greed,2024-01-31
63,Greed,2024-02-01
63,Greed,2024-02-02
60,Greed,2024-02-03
60,Greed,2024-02-04
60,Greed,2024-02-05
64,Greed,2024-02-06
62,Greed,2024-02-07
66,Greed,2024-02-08
72,Greed,2024-02-09
74,Greed,2024-02-10
71,Greed,2024-02-11
70,Greed,2024-02-12
79,Greed,2024-02-13
74,Greed,2024-02-14
72,Greed,2024-02-15
72,Greed,2024-02-16
76,Greed,2024-02-17
72,Greed,2024-02-18
75,Greed,2024-02-19
72,Greed,2024-02-20
78,Greed,2024-02-21
74,Greed,2024-02-22
76,Greed,2024-02-23
72,Greed,2024-02-24
74,Greed,2024-02-25
72,Greed,2024-02-26
79,Greed,2024-02-27
82,Greed,2024-02-28
80,Greed,2024-02-29
80,Greed,2024-03-01
80,Greed,2024-03-02
83,Greed,2024-03-03
82,Greed,2024-03-04
90,Greed,2024-03-05
75,Greed,2024-03-06
82,Greed,2024-03-07
81,Greed,2024-03-08
84,Greed,2024-03-09
79,Greed,2024-03-10
82,Greed,2024-03-11
81,Greed,2024-03-12
81,Greed,2024-03-13
88,Greed,2024-03-14
83,Greed,2024-03-15
81,Greed,2024-03-16
79,Greed,2024-03-17
77,Greed,2024-03-18
79,Greed,2024-03-19
74,Greed,2024-03-20
78,Greed,2024-03-21
75,Greed,2024-03-22
73,Greed,2024-03-23
74,Greed,2024-03-24
75,Greed,2024-03-25
81,Greed,2024-03-26
83,Greed,2024-03-27
80,Greed,2024-03-28
79,Greed,2024-03-29
75,Greed,2024-03-30
75,Greed,2024-03-31
79,Greed,2024-04-01
79,Greed,2024-04-02
71,Greed,2024-04-03
70,Greed,2024-04-04
79,Greed,2024-04-05
75,Greed,2024-04-06
78,Greed,2024-04-07
76,Greed,2024-04-08
80,Greed,2024-04-09
78,Greed,2024-04-10
76,Greed,2024-04-11
79,Greed,2024-04-12
72,Greed,2024-04-13
72,Greed,2024-04-14
74,Greed,2024-04-15
65,Greed,2024-04-16
67,Greed,2024-04-17
57,Greed,2024-04-18
66,Greed,2024-04-19
66,Greed,2024-04-20
72,Greed,2024-04-21
73,Greed,2024-04-22
71,Greed,2024-04-23
72,Greed,2024-04-24
72,Greed,2024-04-25
70,Greed,2024-04-26
67,Greed,2024-04-27
65,Greed,2024-04-28
67,Greed,2024-04-29
67,Greed,2024-04-30
54,Neutral,2024-05-01
43,Fear,2024-05-02
48,Neutral,2024-05-03
67,Greed,2024-05-04
69,Greed,2024-05-05
71,Greed,2024-05-06
68,Greed,2024-05-07
64,Greed,2024-05-08
55,Greed,2024-05-09
66,Greed,2024-05-10
53,Neutral,2024-05-11
56,Greed,2024-05-12
57,Greed,2024-05-13
66,Greed,2024-05-14
64,Greed,2024-05-15
70,Greed,2024-05-16
74,Greed,2024-05-17
73,Greed,2024-05-18
72,Greed,2024-05-19
70,Greed,2024-05-20
76,Greed,2024-05-21
76,Greed,2024-05-22
76,Greed,2024-05-23
74,Greed,2024-05-24
76,Greed,2024-05-25
75,Greed,2024-05-26
74,Greed,2024-05-27
72,Greed,2024-05-28
72,Greed,2024-05-29
73,Greed,2024-05-30
73,Greed,2024-05-31
72,Greed,2024-06-01
73,Greed,2024-06-02
73,Greed,2024-06-03
73,Greed,2024-06-04
75,Greed,2024-06-05
78,Greed,2024-06-06
77,Greed,2024-06-07
72,Greed,2024-06-08
75,Greed,2024-06-09
72,Greed,2024-06-10
74,Greed,2024-06-11
72,Greed,2024-06-12
70,Greed,2024-06-13
74,Greed,2024-06-14
74,Greed,2024-06-15
71,Greed,2024-06-16
71,Greed,2024-06-17
74,Greed,2024-06-18
64,Greed,2024-06-19
60,Greed,2024-06-20
63,Greed,2024-06-21
53,Neutral,2024-06-22
55,Greed,2024-06-23
51,Neutral,2024-06-24
30,Fear,2024-06-25
46,Neutral,2024-06-26
40,Fear,2024-06-27
47,Neutral,2024-06-28
30,Fear,2024-06-29
47,Neutral,2024-06-30
53,Neutral,2024-07-01
51,Neutral,2024-07-02
50,Neutral,2024-07-03
44,Fear,2024-07-04
29,Fear,2024-07-05
26,Fear,2024-07-06
29,Fear,2024-07-07
28,Fear,2024-07-08
27,Fear,2024-07-09
28,Fear,2024-07-10
29,Fear,2024-07-11
25,Fear,2024-07-12
25,Fear,2024-07-13
33,Fear,2024-07-14
52,Neutral,2024-07-15
65,Greed,2024-07-16
69,Greed,2024-07-17
61,Greed,2024-07-18
60,Greed,2024-07-19
74,Greed,2024-07-20
74,Greed,2024-07-21
70,Greed,2024-07-22
71,Greed,2024-07-23
69,Greed,2024-07-24
68,Greed,2024-07-25
68,Greed,2024-07-26
72,Greed,2024-07-27
71,Greed,2024-07-28
74,Greed,2024-07-29
67,Greed,2024-07-30
61,Greed,2024-07-31
52,Neutral,2024-08-01
57,Greed,2024-08-02
37,Fear,2024-08-03
34,Fear,2024-08-04
26,Fear,2024-08-05
17,Fear,2024-08-06
29,Fear,2024-08-07
20,Fear,2024-08-08
48,Neutral,2024-08-09
40,Fear,2024-08-10
39,Fear,2024-08-11
25,Fear,2024-08-12
31,Fear,2024-08-13
30,Fear,2024-08-14
29,Fear,2024-08-15
27,Fear,2024-08-16
25,Fear,2024-08-17
31,Fear,2024-08-18
28,Fear,2024-08-19
30,Fear,2024-08-20
26,Fear,2024-08-21
39,Fear,2024-08-22
34,Fear,2024-08-23
56,Greed,2024-08-24
54,Neutral,2024-08-25
55,Greed,2024-08-26
48,Neutral,2024-08-27
30,Fear,2024-08-28
29,Fear,2024-08-29
34,Fear,2024-08-30
29,Fear,2024-08-31
26,Fear,2024-09-01
26,Fear,2024-09-02
26,Fear,2024-09-03
27,Fear,2024-09-04
29,Fear,2024-09-05
22,Fear,2024-09-06
23,Fear,2024-09-07
29,Fear,2024-09-08
26,Fear,2024-09-09
33,Fear,2024-09-10
37,Fear,2024-09-11
31,Fear,2024-09-12
32,Fear,2024-09-13
50,Neutral,2024-09-14
51,Neutral,2024-09-15
39,Fear,2024-09-16
33,Fear,2024-09-17
45,Neutral,2024-09-18
49,Neutral,2024-09-19
54,Neutral,2024-09-20
54,Neutral,2024-09-21
52,Neutral,2024-09-22
50,Neutral,2024-09-23
54,Neutral,2024-09-24
59,Greed,2024-09-25
50,Neutral,2024-09-26
61,Greed,2024-09-27
64,Greed,2024-09-28
63,Greed,2024-09-29
61,Greed,2024-09-30
50,Neutral,2024-10-01
42,Fear,2024-10-02
37,Fear,2024-10-03
41,Fear,2024-10-04
49,Neutral,2024-10-05
50,Neutral,2024-10-06
50,Neutral,2024-10-07
49,Neutral,2024-10-08
49,Neutral,2024-10-09
39,Fear,2024-10-10
32,Fear,2024-10-11
49,Neutral,2024-10-12
50,Neutral,2024-10-13
48,Neutral,2024-10-14
65,Greed,2024-10-15
73,Greed,2024-10-16
71,Greed,2024-10-17
73,Greed,2024-10-18
72,Greed,2024-10-19
73,Greed,2024-10-20
72,Greed,2024-10-21
70,Greed,2024-10-22
71,Greed,2024-10-23
69,Greed,2024-10-24
72,Greed,2024-10-25
74,Greed,2024-10-27
72,Greed,2024-10-28
72,Greed,2024-10-29
77,Greed,2024-10-30
77,Greed,2024-10-31
75,Greed,2024-11-01
72,Greed,2024-11-02
74,Greed,2024-11-03
70,Greed,2024-11-04
70,Greed,2024-11-05
70,Greed,2024-11-06
77,Greed,2024-11-07
75,Greed,2024-11-08
75,Greed,2024-11-09
78,Greed,2024-11-10
76,Greed,2024-11-11
80,Greed,2024-11-12
84,Greed,2024-11-13
88,Greed,2024-11-14
80,Greed,2024-11-15
86,Greed,2024-11-16
90,Greed,2024-11-17
83,Greed,2024-11-18
90,Greed,2024-11-19
83,Greed,2024-11-20
82,Greed,2024-11-21
94,Greed,2024-11-22
93,Greed,2024-11-23
80,Greed,2024-11-24
82,Greed,2024-11-25
79,Greed,2024-11-26
75,Greed,2024-11-27
77,Greed,2024-11-28
78,Greed,2024-11-29
84,Greed,2024-11-30
81,Greed,2024-12-01
80,Greed,2024-12-02
76,Greed,2024-12-03
78,Greed,2024-12-04
84,Greed,2024-12-05
72,Greed,2024-12-06
75,Greed,2024-12-07
79,Greed,2024-12-08
78,Greed,2024-12-09
78,Greed,2024-12-10
74,Greed,2024-12-11
83,Greed,2024-12-12
76,Greed,2024-12-13
83,Greed,2024-12-14
80,Greed,2024-12-15
83,Greed,2024-12-16
87,Greed,2024-12-17
81,Greed,2024-12-18
75,Greed,2024-12-19
74,Greed,2024-12-20
73,Greed,2024-12-21
73,Greed,2024-12-22
70,Greed,2024-12-23
73,Greed,2024-12-24
73,Greed,2024-12-25
79,Greed,2024-12-26
74,Greed,2024-12-27
72,Greed,2024-12-28
73,Greed,2024-12-29
65,Greed,2024-12-30
64,Greed,2024-12-31
66,Greed,2025-01-01
70,Greed,2025-01-02
74,Greed,2025-01-03
73,Greed,2025-01-04
72,Greed,2025-01-05
76,Greed,2025-01-06
78,Greed,2025-01-07
70,Greed,2025-01-08
69,Greed,2025-01-09
50,Neutral,2025-01-10
69,Greed,2025-01-11
62,Greed,2025-01-12
61,Greed,2025-01-13
63,Greed,2025-01-14
70,Greed,2025-01-15
75,Greed,2025-01-16
75,Greed,2025-01-17
77,Greed,2025-01-18
77,Greed,2025-01-19
76,Greed,2025-01-20
76,Greed,2025-01-21
84,Greed,2025-01-22
75,Greed,2025-01-23
75,Greed,2025-01-24
75,Greed,2025-01-25
73,Greed,2025-01-26
71,Greed,2025-01-27
72,Greed,2025-01-28
72,Greed,2025-01-29
70,Greed,2025-01-30
76,Greed,2025-01-31
68,Greed,2025-02-01
60,Greed,2025-02-02
44,Fear,2025-02-03
72,Greed,2025-02-04
54,Neutral,2025-02-05
49,Neutral,2025-02-06
44,Fear,2025-02-07
44,Fear,2025-02-08
46,Neutral,2025-02-09
43,Fear,2025-02-10
47,Neutral,2025-02-11
46,Neutral,2025-02-12
50,Neutral,2025-02-13
48,Neutral,2025-02-14
50,Neutral,2025-02-15
54,Neutral,2025-02-16
51,Neutral,2025-02-17
47,Neutral,2025-02-18
44,Fear,2025-02-19
49,Neutral,2025-02-20
55,Greed,2025-02-21
49,Neutral,2025-02-22
50,Neutral,2025-02-23
49,Neutral,2025-02-24
25,Fear,2025-02-25
21,Fear,2025-02-26
10,Fear,2025-02-27
16,Fear,2025-02-28
20,Fear,2025-03-01
26,Fear,2025-03-02
33,Fear,2025-03-03
15,Fear,2025-03-04
20,Fear,2025-03-05
25,Fear,2025-03-06
34,Fear,2025-03-07
28,Fear,2025-03-08
27,Fear,2025-03-09
20,Fear,2025-03-10
24,Fear,2025-03-11
34,Fear,2025-03-12
45,Neutral,2025-03-13
27,Fear,2025-03-14
46,Neutral,2025-03-15
30,Fear,2025-03-16
32,Fear,2025-03-17
34,Fear,2025-03-18
32,Fear,2025-03-19
49,Neutral,2025-03-20
31,Fear,2025-03-21
32,Fear,2025-03-22
30,Fear,2025-03-23
45,Neutral,2025-03-24
46,Neutral,2025-03-25
47,Neutral,2025-03-26
40,Fear,2025-03-27
44,Fear,2025-03-28
26,Fear,2025-03-29
32,Fear,2025-03-30
34,Fear,2025-03-31
34,Fear,2025-04-01
44,Fear,2025-04-02
25,Fear,2025-04-03
28,Fear,2025-04-04
30,Fear,2025-04-05
34,Fear,2025-04-06
23,Fear,2025-04-07
24,Fear,2025-04-08
18,Fear,2025-04-09
39,Fear,2025-04-10
25,Fear,2025-04-11
43,Fear,2025-04-12
45,Neutral,2025-04-13
31,Fear,2025-04-14
38,Fear,2025-04-15
29,Fear,2025-04-16
30,Fear,2025-04-17
33,Fear,2025-04-18
32,Fear,2025-04-19
37,Fear,2025-04-20
39,Fear,2025-04-21
47,Neutral,2025-04-22
72,Greed,2025-04-23
63,Greed,2025-04-24
60,Greed,2025-04-25
65,Greed,2025-04-26
61,Greed,2025-04-27
54,Neutral,2025-04-28
60,Greed,2025-04-29
56,Greed,2025-04-30
53,Neutral,2025-05-01
67,Greed,2025-05-02
